Time,XGyro,YGyro,ZGyro,XAccel,YAccel,ZAccel,XMag,YMag,ZMag,lat,long,height
0.000,-0.41,0.77,0.09,-0.1059,0.1662,-1.1026,-2.3891,-0.6903,-2.6458,-33.962444,18.454684,168.300
0.000,0.51,0.26,0.10,-0.1394,0.1785,-1.0555,-2.4309,-0.6186,-2.6526,-33.962460,18.454804,166.200
0.000,-4.11,2.60,0.27,-0.1027,0.1371,-1.1682,-2.4496,-0.6082,-2.6552,-33.962480,18.454914,165.200
0.000,-0.55,1.03,-0.17,-0.1107,0.1786,-1.0733,-2.3986,-0.6507,-2.6375,-33.962500,18.455034,164.500
0.000,1.25,-0.96,-0.06,-0.0803,0.2042,-1.0532,-2.4081,-0.6158,-2.6577,-33.962528,18.455162,163.900
0.000,2.73,-1.78,-0.77,-0.1125,0.1542,-1.0818,-2.3907,-0.6246,-2.6687,-33.962560,18.455294,163.500
0.000,1.96,-0.99,0.82,-0.0960,0.2112,-1.1420,-2.3754,-0.5941,-2.6899,-33.962584,18.455424,163.100
0.000,4.60,-2.08,-0.20,-0.1469,0.2346,-1.0215,-2.4262,-0.6404,-2.6584,-33.962620,18.455548,162.800
0.000,4.83,0.47,2.05,-0.1113,0.2116,-1.0387,-2.4883,-0.5939,-2.6491,-33.962648,18.455668,162.400
0.000,4.95,-2.60,0.52,-0.1408,0.1884,-1.1102,-2.3936,-0.6436,-2.6908,-33.962680,18.455792,161.900
0.000,1.03,0.01,-1.12,-0.1654,0.1762,-1.0728,-2.4170,-0.6137,-2.6537,-33.962712,18.455916,161.200
0.000,-6.49,-2.37,-0.51,-0.2575,0.1268,-1.1991,-2.4155,-0.6237,-2.7317,-33.962740,18.456032,160.700
0.000,0.68,-0.53,0.00,-0.3213,0.2235,-1.0808,-2.4100,-0.5739,-2.6422,-33.962772,18.456142,160.300
0.000,0.62,-0.29,0.39,-0.3358,0.2341,-1.0767,-2.4382,-0.6253,-2.6402,-33.962800,18.456242,159.700
0.000,5.64,9.34,1.76,-0.2323,0.2722,-1.0951,-2.4395,-0.6690,-2.6483,-33.962816,18.456322,159.300
0.000,-1.83,15.00,-1.70,0.0423,0.0936,-1.1644,-2.4851,-0.5905,-2.6352,-33.962824,18.456382,159.000
0.000,-1.87,0.46,-0.40,-0.0421,0.1817,-1.0749,-2.4170,-0.5580,-2.6561,-33.962836,18.456448,158.700
0.000,1.56,-1.05,-1.55,-0.0923,0.1578,-1.1060,-2.4454,-0.6315,-2.6275,-33.962856,18.456512,158.600
0.000,0.78,-0.19,3.33,-0.0313,0.2417,-1.0548,-2.4823,-0.5716,-2.6514,-33.962880,18.456594,156.700
0.000,3.24,-0.56,-0.75,-0.0379,0.1635,-1.1213,-2.4366,-0.5174,-2.6618,-33.962904,18.456684,154.800
0.000,-3.23,-0.69,1.09,-0.0353,0.1867,-1.1098,-2.4652,-0.5634,-2.6892,-33.962932,18.456772,154.700
